n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,8.827915299731584,56.81488223074417,8.827915299731584,14.455635962950767,1681
2,8.827915299731584,56.81488223074417,8.827915299731584,14.455635962950767,1681
3,8.827915299731584,56.81488223074417,8.827915299731584,14.455635962950767,1681
4,8.827915299731584,56.81488223074417,8.827915299731584,14.455635962950767,1681
5,8.827915299731584,56.81488223074417,8.827915299731584,14.455635962950767,1681
6,8.827915299731584,56.85987076630109,8.827915299731584,14.415303287906534,1681
7,8.827915299731584,56.85987076630109,8.827915299731584,14.415303287906534,1681
8,8.827915299731584,56.85987076630109,8.827915299731584,14.415303287906534,1681
9,11.3033104682374,69.82579409403087,11.3033104682374,15.021990659090378,1681
10,11.3033104682374,69.82579409403087,11.3033104682374,15.021990659090378,1681
11,13.569937369519833,87.96514564907656,13.569937369519833,15.614861160133813,1681
12,10.438413361169102,93.14933113990203,10.438413361169102,9.291418727141558,1681
13,87.32478377572323,95.25230736183158,87.32478377572323,90.02471605336622,1292
14,16.910229645093946,70.41295196373657,16.910229645093946,26.712598161014654,1681
15,16.99970175961825,70.50891716595864,16.99970175961825,26.83708567320616,1681
16,17.02952579779302,70.54073275367638,17.02952579779302,26.87853892251544,1681
17,93.91589621234715,88.36504622725916,93.91589621234715,91.05595351009481,0
18,93.91589621234715,88.36504622725916,93.91589621234715,91.05595351009481,0
19,93.91589621234715,88.36504622725916,93.91589621234715,91.05595351009481,0
20,93.91589621234715,88.36504622725916,93.91589621234715,91.05595351009481,0
21,17.02952579779302,70.54073275367638,17.02952579779302,26.87853892251544,1681
22,17.02952579779302,70.54073275367638,17.02952579779302,26.87853892251544,1681
23,94.00536832687146,88.37009274270768,94.00536832687146,91.1006674761872,0
24,17.118997912317326,70.63566596289208,17.118997912317326,27.002771136236504,1681
25,17.118997912317326,70.63566596289208,17.118997912317326,27.002771136236504,1681
26,17.118997912317326,70.63566596289208,17.118997912317326,27.002771136236504,1681
27,94.00536832687146,88.37009274270768,94.00536832687146,91.1006674761872,0
28,94.00536832687146,88.37009274270768,94.00536832687146,91.1006674761872,0
29,17.118997912317326,70.63566596289208,17.118997912317326,27.002771136236504,1681
30,51.6254100805249,85.05018331587696,51.625410080524894,63.92525289565684,1315
31,51.65523411869967,85.0991233005255,51.65523411869967,63.9450321893797,1315
32,94.065016403221,92.0436790490729,94.065016403221,91.51826843170059,1299
33,94.065016403221,92.0436790490729,94.065016403221,91.51826843170059,1299
34,94.065016403221,92.0436790490729,94.065016403221,91.51826843170059,1299
35,51.65523411869967,85.0991233005255,51.65523411869967,63.9450321893797,1315
36,89.08440202803459,88.4940355110013,89.08440202803459,88.787404839758,1299
37,92.03698180733672,88.95793359508872,92.03698180733672,90.39750665969488,1299
38,89.08440202803459,88.4940355110013,89.08440202803459,88.787404839758,1299
39,89.08440202803459,88.4940355110013,89.08440202803459,88.787404839758,1299
40,89.08440202803459,88.4940355110013,89.08440202803459,88.787404839758,1299
41,85.38622129436325,88.16450031327099,85.38622129436325,86.74482517032128,1299
42,89.88965105875334,88.58414184065211,89.88965105875334,89.2269313004882,1299
43,89.74053086787951,88.56643668319938,89.74053086787951,89.14561651389707,1299
44,88.33880107366538,88.41969097064025,88.33880107366538,88.37921466402415,1299
45,84.96868475991648,88.17579749451762,84.96868475991648,86.53079725241459,1299
46,85.29674917983895,88.1572554435251,85.29674917983895,86.69475173436076,1299
47,84.96868475991648,88.17579749451762,84.96868475991648,86.53079725241459,1299
48,90.6054279749478,88.6783031711738,90.6054279749478,89.61694468432543,1299
49,89.80017894422905,88.57345402366911,89.80017894422905,89.17814597493297,1299
50,89.80017894422905,88.57345402366911,89.80017894422905,89.17814597493297,1299
51,89.80017894422905,88.57345402366911,89.80017894422905,89.17814597493297,1299
52,90.6054279749478,88.6783031711738,90.6054279749478,89.61694468432543,1299
53,90.6054279749478,88.6783031711738,90.6054279749478,89.61694468432543,1299
54,89.80017894422905,88.57345402366911,89.80017894422905,89.17814597493297,1299
55,89.80017894422905,88.57345402366911,89.80017894422905,89.17814597493297,1299
56,90.6054279749478,88.6783031711738,90.6054279749478,89.61694468432543,1299
57,91.58962123471518,89.00361366290565,91.58962123471518,90.22681427780901,1302
58,91.58962123471518,89.00361366290565,91.58962123471518,90.22681427780901,1302
59,91.58962123471518,89.00361366290565,91.58962123471518,90.22681427780901,1302
60,91.58962123471518,89.00361366290565,91.58962123471518,90.22681427780901,1302
61,89.23352221890845,88.62373359648217,89.23352221890845,88.9264041246238,1302
62,89.47211452430659,88.65228483433026,89.47211452430659,89.0580290882237,1302
63,91.17208470026841,88.91212837376489,91.17208470026841,89.99581986064116,1302
64,87.20548762302415,88.41553358269415,87.20548762302415,87.80351268922401,1302
65,91.17208470026841,88.91212837376489,91.17208470026841,89.99581986064116,1302
66,91.35102892931702,88.94919821035575,91.35102892931702,90.09475414500862,1302
67,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
68,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
69,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
70,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
71,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
72,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
73,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
74,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
75,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
76,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
77,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
78,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
79,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
80,89.02475395168506,88.59970400680213,89.02475395168506,88.81118042885862,1302
